article_path,article_title,video_path,video_title,score
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\management-pack\MANAGEMENT-PACK-COMPLETE-83-DOCUMENTS-2026-03-24.md,MANAGEMENT PACK COMPLETE 83 DOCUMENTS 2026 03 24,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\management-pack\README.md,Management Pack Reports,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\management-pack\SEO-HUMAN-AUDIT-2026-03-24.md,Portfolio Verdict,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\reports\management-pack\_site-recommendations.md,HelloComp Site Recommendations,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.250
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\audit-article.md,audit article,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\category-page.md,category page,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\competitor-brief.md,competitor brief,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\content-sprint.md,content sprint,HelloComp_PREZENTACE\content-hub.html,HelloComp — Content Hub,0.250
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\faq-generator.md,faq generator,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\kwa-match.md,kwa match,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\meta-write.md,meta write,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\rewrite-upgrade.md,rewrite upgrade,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\social-pack.md,social pack,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\video-script.md,video script,HelloComp_PREZENTACE\HelloComp_SEO_Video_Scripts.html,🎬 HelloComp — SEO Video Scénáře,0.200
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\skills\write-article.md,write article,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\social-media-plan\beforeplansocials.md,HelloComp Campaign Plan,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.250
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\social-media-plan\HelloComp-strategie-social-youtube-2026.md,HelloComp.cz — Strategie: Social Media + YouTube 2026,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.125
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\social-media-plan\HelloComp_Brand_Voice_Guidelines.md,HelloComp Brand Voice Guidelines,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.200
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\social-media-plan\HelloComp_Campaign_Plan.md,HelloComp Campaign Plan,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.250
